id,abv,spirit_type,fair_price,total_score,wishlist_count,bar_count,ranking
5151,46,Rye,70.95,821,150,494,464
19555,58.5,Rye,81.07,821,114,547,464
17264,50,Rye,82.22,818,85,554,466
3562,47.8,Rye,518.88,812,375,207,467
44603,59.65,Bourbon,330.08,812,279,347,467
19812,69.35,Bourbon,461.1,811,279,298,469
3884,40,Scotch,47.86,811,58,588,469
22361,59.5,Bourbon,94.63,808,26,720,471
17261,50.5,Bourbon,254.64,806,206,312,472
20518,55,Bourbon,83.35,804,72,545,473
21216,40,Bourbon,109.66,791,38,569,474
28334,48,Bourbon,117.24,790,114,565,475
17356,45.2,Bourbon,144.78,789,73,439,476
20824,45.5,Bourbon,137.18,788,73,513,477
5208,40,Bourbon,14.3,783,75,518,478
1533,50,Bourbon,17.8,783,111,477,478
14242,50.5,Rye,27.71,782,55,534,480
18042,65.5,Bourbon,139.68,781,67,477,481
4723,40,Irish Whiskey,49.99,780,72,532,482
18002,43.3,Bourbon,55.34,778,44,577,483
149,45.2,Bourbon,49.68,777,54,497,484
2371,40,Bourbon,21.21,774,118,413,485
3213,43,Bourbon,49.93,774,79,504,485
46278,53.5,Bourbon,479.79,774,364,220,485
3672,59.65,Bourbon,226.76,770,217,309,488
32717,45,Bourbon,35.76,769,75,560,489
42831,54,,212.8,775,131,491,489
19466,55,Rye,144.83,763,84,466,490
17156,60.95,Bourbon,73.06,762,68,514,491
17900,46,Bourbon,42.55,760,24,558,492
19223,50,Bourbon,438.87,760,122,336,492
1355,45,Japanese Whisky,76.44,760,145,430,492
17500,46.5,Bourbon,45.48,755,27,548,495
19811,49,Bourbon,139.16,752,150,336,496
20648,54.5,Bourbon,90.02,752,43,554,496
13581,55.7,Bourbon,276.44,752,438,119,496
12152,40,,110.2,761,107,477,497
17644,50,Bourbon,60.37,748,88,456,499
20789,57.5,Bourbon,106.78,745,33,513,500
